Name,Fame_Level,Short_Description,Gender,Category
Tony Bennett,1,"Legendary jazz singer known for his hit ""I Left My Heart in San Francisco.""",Male,Musicians
Aristotle,1,"Ancient Greek philosopher and polymath during the Classical period in Ancient Greece, student of Plato, and teacher of Alexander the Great.",Male,Philosophers
Confucius,1,"Chinese philosopher, teacher, and political figure, known for his philosophy on ethics, sincerity, and justice.",Male,Philosophers
Friedrich Nietzsche,1,"German philosopher, cultural critic, composer, poet, philologist, known for his critique of traditional values and morality.",Male,Philosophers
Immanuel Kant,1,"German philosopher, a central figure in modern philosophy, known for his work in epistemology and ethics.",Male,Philosophers
Karl Marx,1,"German philosopher, economist, historian, sociologist, political theorist, journalist, and socialist revolutionary, co-author of ""The Communist Manifesto"".",Male,Philosophers
Plato,1,"Ancient Greek philosopher, student of Socrates, writer of philosophical dialogues, and founder of the Academy in Athens.",Male,Philosophers
René Descartes,1,"French philosopher, mathematician, and scientist, known as the father of modern western philosophy.",Male,Philosophers
Sigmund Freud,1,"Austrian neurologist and the founder of psychoanalysis, a clinical method for treating psychopathology through dialogue between a patient and a psychoanalyst.",Male,Philosophers
Angela Merkel,1,"Long-serving German Chancellor, key player in the European Union.",Female,Politicians
Barack Obama,1,"Former US President (2009-2017), won Nobel Peace Prize in 2009.",Male,Politicians
Bernie Sanders,1,"US Senator from Vermont, Democratic presidential candidate in 2016 and 2020.",Male,Politicians
Boris Johnson,1,"Former UK Prime Minister, leading figure in Brexit campaign.",Male,Politicians
Donald Trump,1,"US President from 2017-2021, businessman and television personality.",Male,Politicians
Emmanuel Macron,1,"President of France since 2017, previously worked in investment banking.",Male,Politicians
Hillary Clinton,1,"Former US Secretary of State, 2016 Democratic Presidential nominee.",Female,Politicians
Jacinda Ardern,1,"Prime Minister of New Zealand, known for her response to the Christchurch mosque shootings.",Female,Politicians
Jair Bolsonaro,1,"President of Brazil, former army captain.",Male,Politicians
Joe Biden,1,"President of the United States (2021-present), Vice President under Barack Obama.",Male,Politicians
Justin Trudeau,1,"Prime Minister of Canada, known for his progressive policies.",Male,Politicians
Kamala Harris,1,Vice President of the United States under Joe Biden.,Female,Politicians
Kim Jong-un,1,Supreme Leader of North Korea.,Male,Politicians
Narendra Modi,1,"Prime Minister of India, former Chief Minister of Gujarat.",Male,Politicians
Recep Tayyip Erdoğan,1,"President of Turkey, former Mayor of Istanbul.",Male,Politicians
Vladimir Putin,1,Long-term Russian President and former Prime Minister.,Male,Politicians
Xi Jinping,1,"General Secretary of the Communist Party of China, President of the People's Republic of China.",Male,Politicians
Bill Nye,1,"Mechanical engineer and science communicator best known for hosting the TV show ""… … the Science Guy.""",Male,Scientists
Carl Sagan,1,"Astronomer, planetary scientist, cosmologist, astrophysicist, astrobiologist, author, and science communicator. Known for his research on extraterrestrial life.",Male,Scientists
Francis Crick,1,"Molecular biologist, biophysicist, and neuroscientist. Co-discoverer of the structure of DNA.",Male,Scientists
Isaac Newton,1,"Key figure in the scientific revolution, known for his laws of motion and universal gravitation.",Male,Scientists
James Watson,1,"Molecular biologist, geneticist, and zoologist. Co-discoverer of the structure of DNA.",Male,Scientists
Jane Goodall,1,Primatologist renowned for her long-term study of wild chimpanzees in Tanzania.,Female,Scientists
Neil deGrasse Tyson,1,"Popular astrophysicist and science communicator. Host of the TV show ""Cosmos: A Spacetime Odyssey.""",Male,Scientists
Richard Dawkins,1,Evolutionary biologist and author who is a prominent promoter of atheism and secular humanism.,Male,Scientists
Richard Feynman,1,Theoretical physicist known for his work in the path integral formulation of quantum mechanics.,Male,Scientists
Stephen Hawking,1,"Theoretical physicist recognized for work on black holes and relativity. Author of ""A Brief History of Time.""",Male,Scientists
Cristiano Ronaldo,1,"Portuguese professional footballer widely regarded as one of the best players in the world, known for his time at Manchester United and Real Madrid.",Male,Sport/Athletes
Floyd Mayweather Jr.,1,American professional boxing promoter and former professional boxer.,Male,Sport/Athletes
LeBron James,1,"American professional basketball player in the NBA, known for his time with the Cleveland Cavaliers and Los Angeles Lakers.",Male,Sport/Athletes
Lewis Hamilton,1,"British racing driver in Formula One, multiple-time World Champion.",Male,Sport/Athletes
Lionel Messi,1,"Argentine professional footballer widely considered one of the greatest of all time, known for his time at FC Barcelona.",Male,Sport/Athletes
Manny Pacquiao,1,"Filipino professional boxer and politician, regarded as one of the greatest professional boxers of all time.",Male,Sport/Athletes
Michael Phelps,1,"American former competitive swimmer, the most successful and decorated Olympian of all time.",Male,Sport/Athletes
Naomi Osaka,1,"Japanese professional tennis player, winner of multiple Grand Slam titles.",Female,Sport/Athletes
Neymar Jr.,1,"Brazilian professional footballer, known for his time at Paris Saint-Germain and FC Barcelona.",Male,Sport/Athletes
Novak Djokovic,1,"Serbian professional tennis player, winner of numerous Grand Slam titles.",Male,Sport/Athletes
Rafael Nadal,1,"Spanish professional tennis player, winner of numerous Grand Slam titles.",Male,Sport/Athletes
Roger Federer,1,"Swiss professional tennis player, winner of numerous Grand Slam titles.",Male,Sport/Athletes
Sachin Tendulkar,1,"Indian former international cricketer, regarded as one of the greatest batsmen in the history of cricket.",Male,Sport/Athletes
Serena Williams,1,"American professional tennis player, winner of numerous Grand Slam titles.",Female,Sport/Athletes
Simone Biles,1,"American artistic gymnast, one of the most decorated gymnasts in history.",Female,Sport/Athletes
Tiger Woods,1,"American professional golfer, one of the most successful golfers of all time.",Male,Sport/Athletes
Tom Brady,1,"American professional football quarterback in the NFL, known for his time with the New England Patriots and Tampa Bay Buccaneers.",Male,Sport/Athletes
Usain Bolt,1,"Jamaican former sprinter, widely considered the greatest sprinter of all time.",Male,Sport/Athletes
Virat Kohli,1,"Indian cricketer and former captain of the Indian national team, one of the best batsmen in the world.",Male,Sport/Athletes
Dan Brown,1,"American author, celebrated for his mystery-thriller novels such as ""The Da Vinci Code"".",Male,Writers/Authors
Danielle Steel,1,"American author, recognized for her romance novels. She is the bestselling author alive.",Female,Writers/Authors
E.L. James,1,"British author, famous for her ""Fifty Shades of Grey"" series.",Female,Writers/Authors
George R.R. Martin,1,"American novelist, famous for the ""A Song of Ice and Fire"" series which was adapted into ""Game of Thrones"".",Male,Writers/Authors
J.K. Rowling,1,"British author, best known for the ""Harry Potter"" series.",Female,Writers/Authors
James Patterson,1,"American author, known for his thrillers, including the Alex Cross series.",Male,Writers/Authors
Jeff Kinney,1,"American author, known for his ""Diary of a Wimpy Kid"" series.",Male,Writers/Authors
Jodi Picoult,1,"American author, known for her novels that explore controversial issues, such as ""My Sister's Keeper"".",Female,Writers/Authors
John Grisham,1,"American author, recognized for his popular legal thrillers.",Male,Writers/Authors
Lee Child,1,"British author, recognized for the ""Jack Reacher"" series.",Male,Writers/Authors
Malcolm Gladwell,1,"Canadian journalist and author, known for his non-fiction works such as ""The Tipping Point"" and ""Outliers"".",Male,Writers/Authors
Neil Gaiman,1,"British author, famous for works such as ""American Gods"" and ""Coraline"".",Male,Writers/Authors
Nicholas Sparks,1,"American author, known for his romance novels like ""The Notebook"".",Male,Writers/Authors
Paulo Coelho,1,"Brazilian author, famous for his novel ""The Alchemist"".",Male,Writers/Authors
Rick Riordan,1,"American author, recognized for the ""Percy Jackson & the Olympians"" series.",Male,Writers/Authors
Stephanie Meyer,1,"American novelist, famous for her ""Twilight"" series.",Female,Writers/Authors
Stephen King,1,"American author, notable for works of horror and supernatural fiction.",Male,Writers/Authors
Suzanne Collins,1,"American television writer and author, recognized for her ""Hunger Games"" trilogy.",Female,Writers/Authors
Tom Clancy,1,"American author, known for his technically detailed espionage and military-science storylines.",Male,Writers/Authors
Veronica Roth,1,"American novelist, famous for her ""Divergent"" trilogy.",Female,Writers/Authors
Ai Weiwei,2,"Chinese contemporary artist and activist, known for his criticism of the Chinese Government's stance on democracy and human rights.",Male,Activists
Angela Davis,2,"American political activist, philosopher, academic, and author, known for her involvement in the Civil Rights Movement.",Female,Activists
Emma Watson,2,"British actress, model, and activist, known for her work promoting education for girls and her role in the Harry Potter film series.",Female,Actor/Actress
Gloria Steinem,2,"American feminist journalist and social political activist who became nationally recognized as a leader of, and media spokeswoman for, the women's liberation movement in the late 1960s and 1970s.",Female,Activists
Harvey Milk,2,American politician and the first openly gay elected official in the history of California.,Male,Activists
Julian Assange,2,"Australian editor, publisher, and activist who founded WikiLeaks in 2006.",Male,Activists
Susan B. Anthony,2,American social reformer and women's rights activist who played a pivotal role in the women's suffrage movement.,Female,Activists
Amy Adams,2,Six-time Academy Award-nominated actress known for her roles in films like American Hustle and Enchanted.,Female,Actor/Actress
Bryan Cranston,2,Known for his roles as Walter White in Breaking Bad and Hal in Malcolm in the Middle.,Male,Actor/Actress
Chiwetel Ejiofor,2,English actor known for his roles in films like 12 Years a Slave and Doctor Strange. Academy Award nominee.,Male,Actor/Actress
Elizabeth Olsen,2,Known for her role as Wanda Maximoff/Scarlet Witch in the Marvel Cinematic Universe.,Female,Actor/Actress
Ethan Hawke,2,Known for his roles in films like Training Day and Boyhood. Four-time Academy Award nominee.,Male,Actor/Actress
Halle Berry,2,Academy Award-winning actress known for her roles in Monster's Ball and as Storm in the X-Men series.,Female,Actor/Actress
Hugh Grant,2,Known for his roles in romantic comedies like Four Weddings and a Funeral and Notting Hill. Golden Globe winner.,Male,Actor/Actress
Jake Gyllenhaal,2,Known for his roles in films like Brokeback Mountain and Nightcrawler. Academy Award nominee.,Male,Actor/Actress
Jamie Foxx,2,Academy Award-winning actor and singer known for his roles in films like Ray and Django Unchained.,Male,Actor/Actress
Jason Momoa,2,Known for his roles as Khal Drogo in Game of Thrones and as Aquaman in the DC Extended Universe.,Male,Actor/Actress
Javier Bardem,2,"Spanish actor, Academy Award winner for his role in No Country for Old Men.",Male,Actor/Actress
Jessica Chastain,2,Known for her roles in Zero Dark Thirty and Interstellar. Two-time Academy Award nominee.,Female,Actor/Actress
Julianne Moore,2,Academy Award-winning actress known for her roles in Still Alice and Boogie Nights.,Female,Actor/Actress
Keira Knightley,2,English actress known for her roles in Pride & Prejudice and Pirates of the Caribbean. Academy Award nominee.,Female,Actor/Actress
Lupita Nyong'o,2,"Kenyan-Mexican actress, Academy Award winner for her role in 12 Years a Slave. Also known for Black Panther.",Female,Actor/Actress
Mahershala Ali,2,Two-time Academy Award-winning actor known for his roles in Moonlight and Green Book.,Male,Actor/Actress
Marion Cotillard,2,"French actress, Academy Award winner for her role in La Vie en Rose.",Female,Actor/Actress
Mark Ruffalo,2,Known for his role as Bruce Banner/The Hulk in the Marvel Cinematic Universe. Three-time Academy Award nominee.,Male,Actor/Actress
Matthew McConaughey,2,Known for his roles in Dallas Buyers Club and Interstellar. Academy Award winner.,Male,Actor/Actress
Michael B. Jordan,2,"Known for his roles in Fruitvale Station, Creed, and Black Panther.",Male,Actor/Actress
Michael Fassbender,2,"German-Irish actor, known for his roles in films like 12 Years a Slave and the X-Men series. Two-time Academy Award nominee.",Male,Actor/Actress
Naomi Watts,2,English actress and film producer known for her roles in Mulholland Drive and The Impossible. Two-time Academy Award nominee.,Female,Actor/Actress
Octavia Spencer,2,Academy Award-winning actress known for her roles in films like The Help and Hidden Figures.,Female,Actor/Actress
Patrick Stewart,2,"English actor, known for his roles as Captain Jean-Luc Picard in Star Trek and Professor X in the X-Men series.",Male,Actor/Actress
Paul Rudd,2,Known for his comedic roles and for portraying Scott Lang/Ant-Man in the Marvel Cinematic Universe.,Male,Actor/Actress
Penélope Cruz,2,"Spanish actress and model, Academy Award winner for her role in Vicky Cristina Barcelona.",Female,Actor/Actress
Rachel McAdams,2,Canadian actress known for her roles in The Notebook and Mean Girls.,Female,Actor/Actress
Rami Malek,2,"American actor, Academy Award winner for his portrayal of Freddie Mercury in Bohemian Rhapsody.",Male,Actor/Actress
Rooney Mara,2,Known for her roles in The Girl with the Dragon Tattoo and Carol. Two-time Academy Award nominee.,Female,Actor/Actress
Ryan Gosling,2,"Canadian actor, known for his roles in films like La La Land and The Notebook. Two-time Academy Award nominee.",Male,Actor/Actress
Sigourney Weaver,2,Known for her roles as Ellen Ripley in the Alien franchise and Dana Barrett in Ghostbusters. Three-time Academy Award nominee.,Female,Actor/Actress
Sofia Vergara,2,"Colombian-American actress, known for her role as Gloria Delgado-Pritchett in the TV series Modern Family.",Female,Actor/Actress
Tilda Swinton,2,British actress and Academy Award winner for Michael Clayton. Known for her roles in the Narnia series and Doctor Strange.,Female,Actor/Actress
Tom Hardy,2,"English actor known for his roles in Inception, Mad Max: Fury Road, and as Bane in The Dark Knight Rises.",Male,Actor/Actress
Zoe Saldana,2,"Known for her roles in three of the biggest film franchises: Avatar, Guardians of the Galaxy, and Star Trek.",Female,Actor/Actress
Edvard Munch,2,"Norwegian painter, whose best-known work, ""The Scream"" has become an iconic image of art history.",Male,Artists/Painters
Egon Schiele,2,Austrian figurative painter known for his raw and deeply emotional depictions of the human form.,Male,Artists/Painters
Gustav Klimt,2,"Austrian symbolist painter, one of the most prominent members of the Vienna Secession movement.",Male,Artists/Painters
Johannes Vermeer,2,"Dutch Baroque Period painter, known for his masterly treatment and use of light in his work.",Male,Artists/Painters
Marc Chagall,2,"Russian-French artist of Belarusian Jewish origin, known for his figurative, symbolic, and emotional content.",Male,Artists/Painters
Mary Cassatt,2,"American painter and printmaker, known for her paintings and prints of women and children.",Female,Artists/Painters
Paul Klee,2,"Swiss-born artist, known for his unique style influenced by expressionism, cubism, and surrealism.",Male,Artists/Painters
Tracey Emin,2,"British contemporary artist, known for her autobiographical and confessional artwork.",Female,Artists/Painters
Wassily Kandinsky,2,"Russian painter and art theorist, credited with painting the first purely abstract works.",Male,Artists/Painters
Yayoi Kusama,2,"Japanese contemporary artist, known for her use of polka dots and for her infinity installations.",Female,Artists/Painters
Bernard Arnault,2,"French billionaire, business magnate, and art collector, the CEO of LVMH, the world's largest luxury-goods company.",Male,Entrepreneurs/Business leaders
Bob Iger,2,"Former CEO and current Executive Chairman of The Walt Disney Company, where he oversaw the acquisition of Pixar, Marvel, Lucasfilm, and 21st Century Fox.",Male,Entrepreneurs/Business leaders
Carlos Slim,2,"Mexican business magnate, investor and philanthropist, known as the ""Warren Buffett of Mexico"".",Male,Entrepreneurs/Business leaders
Indra Nooyi,2,"Former CEO of PepsiCo, a multinational food, snack, and beverage corporation.",Female,Entrepreneurs/Business leaders
Jamie Dimon,2,"CEO of JPMorgan Chase, the largest of the big four American banks.",Male,Entrepreneurs/Business leaders
Larry Ellison,2,"Co-founder and executive chairman of Oracle Corporation, an American multinational computer technology corporation.",Male,Entrepreneurs/Business leaders
Larry Page,2,"Co-founder of Google Inc., an American multinational technology company.",Male,Entrepreneurs/Business leaders
Mary Barra,2,"CEO and Chairman of General Motors Company, the first female CEO of a major global automaker.",Female,Entrepreneurs/Business leaders
Richard Branson,2,"Founder of Virgin Group, which controls more than 400 companies in various fields.",Male,Entrepreneurs/Business leaders
Satya Nadella,2,"CEO of Microsoft, responsible for significant growth through his ""mobile-first, cloud-first"" vision.",Male,Entrepreneurs/Business leaders
Sheryl Sandberg,2,"COO of Facebook and founder of LeanIn.Org, a non-profit organization offering women the ongoing inspiration and support to help them achieve their goals.",Female,Entrepreneurs/Business leaders
Tim Cook,2,"CEO of Apple Inc., who previously served as the company's COO.",Male,Entrepreneurs/Business leaders
Anne Frank,2,"German-Dutch diarist of Jewish heritage, one of the most discussed Jewish victims of the Holocaust.",Female,Historic Figures
Charlemagne,2,King of the Franks and Lombards and Emperor of the Romans in the early Middle Ages.,Male,Historic Figures
Charles Darwin,2,"English naturalist and biologist, best known for his contributions to the science of evolution.",Male,Historic Figures
Galileo Galilei,2,"Italian astronomer, physicist and engineer, sometimes described as a polymath, known for his significant role in the scientific revolution.",Male,Historic Figures
Genghis Khan,2,"Founder and first Great Khan of the Mongol Empire, which became the largest contiguous empire in history after his death.",Male,Historic Figures
Louis XIV,2,"King of France from 1643 until his death in 1715, his reign of 72 years is the longest recorded of any monarch of a sovereign country in European history.",Male,Historic Figures
Marco Polo,2,"Italian merchant, explorer, and writer who travelled through Asia along the Silk Road between 1271 and 1295.",Male,Historic Figures
Nikola Tesla,2,"Inventor, electrical engineer, mechanical engineer, and physicist known for his contributions to the design of the modern alternating current electricity supply system.",Male,Historic Figures
Queen Victoria,2,"Queen of the United Kingdom of Great Britain and Ireland from 1837 until her death, known for the Victorian era.",Female,Historic Figures
William Shakespeare,2,"English poet, playwright, and actor, widely regarded as the greatest writer in the English language.",Male,Historic Figures
Winston Churchill,2,"British statesman, army officer, and writer who served as Prime Minister of the United Kingdom during the Second World War.",Male,Historic Figures
A$AP Rocky,2,"Rapper known for his distinct New York sound and his hit ""Praise the Lord (Da Shine).""",Male,Musicians
B.B. King,2,"Legendary blues guitarist known for his hit ""The Thrill is Gone.""",Male,Musicians
Camila Cabello,2,"Singer known for her hits like ""Havana"" and ""Señorita."" Former member of Fifth Harmony.",Female,Musicians
